query_id,product_id,esci_label
mq-001,mov-009,E
mq-001,mov-077,E
mq-001,mov-076,E
mq-001,mov-069,S
mq-001,mov-031,S
mq-001,mov-036,C
mq-001,mov-075,C
mq-001,mov-035,I
mq-002,mov-004,E
mq-002,mov-005,C
mq-002,mov-034,S
mq-002,mov-049,C
mq-002,mov-027,C
mq-002,mov-132,S
mq-002,mov-011,I
mq-003,mov-012,E
mq-003,mov-082,E
mq-003,mov-083,E
mq-003,mov-046,S
mq-003,mov-130,S
mq-003,mov-066,S
mq-003,mov-043,C
mq-003,mov-131,C
mq-004,mov-007,E
mq-004,mov-073,E
mq-004,mov-072,E
mq-004,mov-069,S
mq-004,mov-078,S
mq-004,mov-017,S
mq-004,mov-117,C
mq-004,mov-070,C
mq-005,mov-014,E
mq-005,mov-050,E
mq-005,mov-150,E
mq-005,mov-112,E
mq-005,mov-064,S
mq-005,mov-147,S
mq-005,mov-013,C
mq-005,mov-026,C
mq-006,mov-001,E
mq-006,mov-098,E
mq-006,mov-048,S
mq-006,mov-022,S
mq-006,mov-061,S
mq-006,mov-140,C
mq-007,mov-019,E
mq-007,mov-020,E
mq-007,mov-101,E
mq-007,mov-102,E
mq-007,mov-100,S
mq-007,mov-103,S
mq-007,mov-029,S
mq-007,mov-148,C
mq-008,mov-002,E
mq-008,mov-011,E
mq-008,mov-016,E
mq-008,mov-005,S
mq-008,mov-049,S
mq-008,mov-132,C
mq-008,mov-043,C
mq-009,mov-033,E
mq-009,mov-079,E
mq-009,mov-045,S
mq-009,mov-080,S
mq-009,mov-046,C
mq-009,mov-117,C
mq-010,mov-030,E
mq-010,mov-035,C
mq-010,mov-076,C
mq-010,mov-102,I
mq-011,mov-099,E
mq-011,mov-028,S
mq-011,mov-141,S
mq-011,mov-054,C
mq-011,mov-013,C
mq-012,mov-145,E
mq-012,mov-092,E
mq-012,mov-028,S
mq-012,mov-148,S
mq-012,mov-029,S
mq-012,mov-123,C
mq-012,mov-149,C
mq-013,mov-134,E
mq-013,mov-136,E
mq-013,mov-135,S
mq-013,mov-067,S
mq-013,mov-081,S
mq-013,mov-060,C
mq-013,mov-120,C
mq-014,mov-051,E
mq-014,mov-041,C
mq-014,mov-015,C
mq-014,mov-098,C
mq-015,mov-021,E
mq-015,mov-032,C
mq-015,mov-031,I
mq-016,mov-052,E
mq-016,mov-126,S
mq-016,mov-054,C
mq-016,mov-088,C
mq-016,mov-053,I
mq-017,mov-035,E
mq-017,mov-092,E
mq-017,mov-045,S
mq-017,mov-057,S
mq-017,mov-055,S
mq-017,mov-110,C
mq-017,mov-113,C
mq-018,mov-037,E
mq-018,mov-074,E
mq-018,mov-075,S
mq-018,mov-031,C
mq-018,mov-036,C
mq-018,mov-069,C
mq-019,mov-084,E
mq-019,mov-043,S
mq-019,mov-048,S
mq-019,mov-049,C
mq-019,mov-059,C
mq-020,mov-092,E
mq-020,mov-028,E
mq-020,mov-148,S
mq-020,mov-087,C
mq-020,mov-123,C
mq-021,mov-080,E
mq-021,mov-057,E
mq-021,mov-114,E
mq-021,mov-006,S
mq-021,mov-018,S
mq-021,mov-091,S
mq-021,mov-100,C
mq-021,mov-101,C
mq-022,mov-022,E
mq-022,mov-093,E
mq-022,mov-045,S
mq-022,mov-004,S
mq-022,mov-046,S
mq-022,mov-079,C
mq-022,mov-128,C
mq-022,mov-081,C
mq-023,mov-099,E
mq-023,mov-141,E
mq-023,mov-052,E
mq-023,mov-088,S
mq-023,mov-054,S
mq-023,mov-126,S
mq-023,mov-149,C
mq-023,mov-147,C
mq-024,mov-072,E
mq-024,mov-110,E
mq-024,mov-017,S
mq-024,mov-078,S
mq-024,mov-140,S
mq-024,mov-039,C
mq-024,mov-057,C
mq-024,mov-127,C
mq-025,mov-036,E
mq-025,mov-023,E
mq-025,mov-060,E
mq-025,mov-062,S
mq-025,mov-010,S
mq-025,mov-115,S
mq-025,mov-106,C
mq-025,mov-093,C
