query_id,product_id,esci_label
smq-001,mov-073,E
smq-001,mov-069,E
smq-001,mov-007,E
smq-001,mov-017,C
smq-001,mov-022,I
smq-002,mov-002,E
smq-002,mov-125,S
smq-002,mov-024,C
smq-002,mov-016,I
smq-002,mov-025,I
smq-003,mov-023,E
smq-003,mov-061,I
smq-003,mov-068,I
smq-003,mov-103,I
smq-004,mov-125,E
smq-004,mov-030,E
smq-004,mov-138,I
smq-004,mov-016,I
smq-004,mov-083,I
smq-005,mov-093,E
smq-005,mov-009,I
smq-005,mov-125,I
smq-005,mov-117,I
smq-006,mov-020,E
smq-006,mov-076,I
smq-006,mov-017,I
smq-006,mov-031,I
smq-007,mov-011,E
smq-007,mov-121,I
smq-008,mov-029,E
smq-008,mov-077,I
smq-008,mov-087,I
smq-008,mov-062,I
smq-009,mov-107,E
smq-009,mov-054,I
smq-009,mov-108,C
smq-009,mov-109,C
smq-010,mov-011,E
smq-010,mov-003,S
smq-010,mov-016,C
smq-010,mov-131,C
smq-010,mov-075,C
smq-010,mov-002,C
smq-011,mov-037,E
smq-011,mov-074,I
smq-011,mov-014,I
smq-011,mov-075,I
smq-012,mov-009,E
smq-012,mov-074,I
smq-012,mov-079,I
smq-012,mov-066,I
smq-013,mov-030,E
smq-013,mov-009,I
smq-014,mov-007,E
smq-014,mov-036,I
smq-014,mov-103,I
smq-014,mov-072,I
smq-014,mov-069,C
smq-015,mov-017,E
